,0,1,2,3
White,8322.0,63.0,1063.0,28.0
Black or African American,12299.0,4333.0,5673.0,1231.0
Hispanic or Latino,16982.0,2042.0,16555.0,446.0
Asian,3155.0,3.0,962.0,5.0
