,0,1,2,3
White,0.0,1334.0,187.0,7516.0
Black or African American,372.0,11865.0,1200.0,12663.0
Hispanic or Latino,10.0,19298.0,1998.0,14982.0
Asian,0.0,970.0,95.0,2971.0
