,0,1,2,3
White,1979.0,7027.0,103.0,152.0
Black or African American,10473.0,13933.0,6120.0,490.0
Hispanic or Latino,23183.0,11145.0,2790.0,1153.0
Asian,1558.0,2305.0,24.0,76.0
