,0,1,2,3
White,0.0,1750.0,220.0,7090.0
Black or African American,591.0,10828.0,4254.0,9494.0
Hispanic or Latino,0.0,20954.0,3656.0,12018.0
Asian,0.0,1516.0,83.0,2417.0
