,0,1,2,3
White,404.0,7284.0,33.0,1434.0
Black or African American,6001.0,8701.0,1816.0,7280.0
Hispanic or Latino,8588.0,10905.0,474.0,16159.0
Asian,518.0,2555.0,1.0,1037.0
