,0
% Student Enrollment - White,2.5806266351860123
% Student Enrollment - Black or African American,38.29708378533598
% Student Enrollment - Hispanic or Latino,54.803567098462125
% Student Enrollment - Asian,3.309514389636909
% Student Enrollment - Low Income,89.60724267755727
Student Attendance Rate,85.17229915129859
High School Dropout Rate - Total,10.222117286707931
High School 4-Year Graduation Rate - Total,63.68508072235339
% Graduates enrolled in a Postsecondary Institution within 12 months,53.823074468763956
Cluster Position,0.0
