,0
% Student Enrollment - White,21.958036046079524
% Student Enrollment - Black or African American,29.403251579338534
% Student Enrollment - Hispanic or Latino,37.217394401090054
% Student Enrollment - Asian,7.487702836615881
% Student Enrollment - Low Income,61.09649758454107
Student Attendance Rate,92.31196271522359
High School Dropout Rate - Total,0.4995757463148768
High School 4-Year Graduation Rate - Total,91.78688529666789
% Graduates enrolled in a Postsecondary Institution within 12 months,84.25100024773938
Cluster Position,3.0
