,0
% Student Enrollment - White,9.379818422083007
% Student Enrollment - Black or African American,27.898556186374318
% Student Enrollment - Hispanic or Latino,57.0038885082224
% Student Enrollment - Asian,4.39460160532498
% Student Enrollment - Low Income,90.70804620203602
Student Attendance Rate,88.57131949882537
High School Dropout Rate - Total,2.6015612764291305
High School 4-Year Graduation Rate - Total,81.31202525450273
% Graduates enrolled in a Postsecondary Institution within 12 months,60.216912196554425
Cluster Position,3.0
