,0
% Student Enrollment - White,19.72243892035356
% Student Enrollment - Black or African American,29.145979762553615
% Student Enrollment - Hispanic or Latino,40.2430318253987
% Student Enrollment - Asian,7.478101376809877
% Student Enrollment - Low Income,61.956425507713455
Student Attendance Rate,94.44717173392735
High School Dropout Rate - Total,1.9414061944595846
High School 4-Year Graduation Rate - Total,94.27085475959147
% Graduates enrolled in a Postsecondary Institution within 12 months,80.03112159055901
Cluster Position,0.0
