,0
% Student Enrollment - White,8.01221052631579
% Student Enrollment - Black or African American,25.816999999999997
% Student Enrollment - Hispanic or Latino,60.68447368421052
% Student Enrollment - Asian,4.044473684210526
% Student Enrollment - Low Income,81.22873684210526
Student Attendance Rate,94.1748947368421
High School Dropout Rate - Total,0.2081578947368421
High School 4-Year Graduation Rate - Total,0.0
% Graduates enrolled in a Postsecondary Institution within 12 months,0.0
Cluster Position,3.0
