,0
% Student Enrollment - White,5.465314285714285
% Student Enrollment - Black or African American,27.735013333333338
% Student Enrollment - Hispanic or Latino,61.55825523809524
% Student Enrollment - Asian,3.951569523809524
% Student Enrollment - Low Income,85.39240380952381
Student Attendance Rate,89.2898819047619
High School Dropout Rate - Total,5.156030476190476
High School 4-Year Graduation Rate - Total,82.20577142857142
% Graduates enrolled in a Postsecondary Institution within 12 months,67.56891428571429
Cluster Position,3.0
