,0
% Student Enrollment - White,1.4097311139564663
% Student Enrollment - Black or African American,77.5228339735382
% Student Enrollment - Hispanic or Latino,20.268373879641487
% Student Enrollment - Asian,0.082202304737516
% Student Enrollment - Low Income,91.628339735382
Student Attendance Rate,82.00849338454974
High School Dropout Rate - Total,18.965983781476737
High School 4-Year Graduation Rate - Total,30.763465642338883
% Graduates enrolled in a Postsecondary Institution within 12 months,25.33021766965429
Cluster Position,2.0
