,0
% Student Enrollment - White,19.172120902946048
% Student Enrollment - Black or African American,32.30180334141053
% Student Enrollment - Hispanic or Latino,38.216008162224206
% Student Enrollment - Asian,7.578574161458998
% Student Enrollment - Low Income,67.97258257875271
Student Attendance Rate,91.40027802576203
High School Dropout Rate - Total,4.2295089912001025
High School 4-Year Graduation Rate - Total,94.9897181481954
% Graduates enrolled in a Postsecondary Institution within 12 months,76.82105853845174
Cluster Position,3.0
