,0
% Student Enrollment - White,0.2545454545454545
% Student Enrollment - Black or African American,96.62727272727273
% Student Enrollment - Hispanic or Latino,2.609090909090909
% Student Enrollment - Asian,0.0
% Student Enrollment - Low Income,94.51818181818182
Student Attendance Rate,81.23636363636363
High School Dropout Rate - Total,0.0
High School 4-Year Graduation Rate - Total,18.327272727272728
% Graduates enrolled in a Postsecondary Institution within 12 months,6.109090909090909
Cluster Position,0.0
