,0
% Student Enrollment - White,1.6775450843513673
% Student Enrollment - Black or African American,71.64892379290285
% Student Enrollment - Hispanic or Latino,25.95026178010471
% Student Enrollment - Asian,0.29342641070389763
% Student Enrollment - Low Income,97.1520651541594
Student Attendance Rate,86.58103548574752
High School Dropout Rate - Total,14.125189063408959
High School 4-Year Graduation Rate - Total,27.293542757417104
% Graduates enrolled in a Postsecondary Institution within 12 months,22.641884816753926
Cluster Position,3.0
