,0
% Student Enrollment - White,0.9816219549799569
% Student Enrollment - Black or African American,66.81873265494912
% Student Enrollment - Hispanic or Latino,31.49176688251619
% Student Enrollment - Asian,0.05513413506012951
% Student Enrollment - Low Income,94.57403638606228
Student Attendance Rate,88.05419364785692
High School Dropout Rate - Total,8.68623188405797
High School 4-Year Graduation Rate - Total,63.78524514338575
% Graduates enrolled in a Postsecondary Institution within 12 months,36.422016651248846
Cluster Position,1.0
