,0
% Student Enrollment - White,2.6414359343161933
% Student Enrollment - Black or African American,50.9981900994846
% Student Enrollment - Hispanic or Latino,43.82201845858803
% Student Enrollment - Asian,1.0039913700107876
% Student Enrollment - Low Income,92.94726117703463
Student Attendance Rate,85.6262615366175
High School Dropout Rate - Total,1.7387031043988972
High School 4-Year Graduation Rate - Total,80.06066163250631
% Graduates enrolled in a Postsecondary Institution within 12 months,28.771736785329015
Cluster Position,2.0
