,0
% Student Enrollment - White,5.3311363636363645
% Student Enrollment - Black or African American,34.10190340909091
% Student Enrollment - Hispanic or Latino,56.78488636363637
% Student Enrollment - Asian,2.7055965909090913
% Student Enrollment - Low Income,85.67997159090909
Student Attendance Rate,91.13792613636363
High School Dropout Rate - Total,2.776193181818182
High School 4-Year Graduation Rate - Total,96.4428693181818
% Graduates enrolled in a Postsecondary Institution within 12 months,2.1519886363636362
Cluster Position,2.0
