,0
% Student Enrollment - White,3.9433703616166396
% Student Enrollment - Black or African American,35.055619238950605
% Student Enrollment - Hispanic or Latino,57.01540711415741
% Student Enrollment - Asian,2.866325927676672
% Student Enrollment - Low Income,93.32129224769558
Student Attendance Rate,86.32487591585915
High School Dropout Rate - Total,9.559607657764122
High School 4-Year Graduation Rate - Total,90.58276707634128
% Graduates enrolled in a Postsecondary Institution within 12 months,52.31368470810683
Cluster Position,1.0
