,0
% Student Enrollment - White,18.41824111477597
% Student Enrollment - Black or African American,38.4433865767335
% Student Enrollment - Hispanic or Latino,32.94079605677649
% Student Enrollment - Asian,7.184805247748582
% Student Enrollment - Low Income,68.46881740355039
Student Attendance Rate,92.32202127265316
High School Dropout Rate - Total,0.5709706111255235
High School 4-Year Graduation Rate - Total,94.08215913723456
% Graduates enrolled in a Postsecondary Institution within 12 months,81.79286958455323
Cluster Position,0.0
