,0
% Student Enrollment - White,1.4015366719725726
% Student Enrollment - Black or African American,64.19179013101505
% Student Enrollment - Hispanic or Latino,32.82869474715318
% Student Enrollment - Asian,0.8165850373454145
% Student Enrollment - Low Income,95.6464736133219
Student Attendance Rate,84.29837149504102
High School Dropout Rate - Total,9.088980041630956
High School 4-Year Graduation Rate - Total,62.091747275621394
% Graduates enrolled in a Postsecondary Institution within 12 months,39.40426105056936
Cluster Position,1.0
