,0
% Student Enrollment - White,19.857544077757684
% Student Enrollment - Black or African American,39.36813404159132
% Student Enrollment - Hispanic or Latino,31.491690212477394
% Student Enrollment - Asian,6.515548711573237
% Student Enrollment - Low Income,66.99871722423147
Student Attendance Rate,91.84286844484629
High School Dropout Rate - Total,0.7763082052441229
High School 4-Year Graduation Rate - Total,90.2857566681736
% Graduates enrolled in a Postsecondary Institution within 12 months,78.12607651446655
Cluster Position,1.0
