,0
% Student Enrollment - White,4.9151162137884565
% Student Enrollment - Black or African American,30.395811812261393
% Student Enrollment - Hispanic or Latino,58.821589377947454
% Student Enrollment - Asian,4.2582781271053225
% Student Enrollment - Low Income,91.16787839658657
Student Attendance Rate,88.21607624073658
High School Dropout Rate - Total,1.4863069840556926
High School 4-Year Graduation Rate - Total,83.13703963620031
% Graduates enrolled in a Postsecondary Institution within 12 months,61.77612564563216
Cluster Position,1.0
