,0
% Student Enrollment - White,5.553904282115869
% Student Enrollment - Black or African American,46.33694374475231
% Student Enrollment - Hispanic or Latino,44.12296389588581
% Student Enrollment - Asian,2.3089420654911836
% Student Enrollment - Low Income,87.22136859781696
Student Attendance Rate,89.05701091519731
High School Dropout Rate - Total,8.409403862300586
High School 4-Year Graduation Rate - Total,2.5629722921914357
% Graduates enrolled in a Postsecondary Institution within 12 months,4.333753148614609
Cluster Position,2.0
