,0
% Student Enrollment - White,4.3275634765625
% Student Enrollment - Black or African American,23.0865478515625
% Student Enrollment - Hispanic or Latino,67.36568603515626
% Student Enrollment - Asian,3.914676920572917
% Student Enrollment - Low Income,90.0604939778646
Student Attendance Rate,91.31871744791668
High School Dropout Rate - Total,5.038623046875
High School 4-Year Graduation Rate - Total,78.44867350260417
% Graduates enrolled in a Postsecondary Institution within 12 months,61.233447265624996
Cluster Position,2.0
