,0
% Student Enrollment - White,5.262978519778818
% Student Enrollment - Black or African American,27.842657379838368
% Student Enrollment - Hispanic or Latino,61.63222564866015
% Student Enrollment - Asian,4.143962675457253
% Student Enrollment - Low Income,92.23444013185879
Student Attendance Rate,88.50629785197789
High School Dropout Rate - Total,3.508302318162484
High School 4-Year Graduation Rate - Total,76.13383400680563
% Graduates enrolled in a Postsecondary Institution within 12 months,52.30431199489579
Cluster Position,0.0
