,School Name,% Student Enrollment - White,% Student Enrollment - Black or African American,% Student Enrollment - Hispanic or Latino,% Student Enrollment - Asian,% Student Enrollment - Low Income,Student Attendance Rate,High School Dropout Rate - Total,High School 4-Year Graduation Rate - Total,% Graduates enrolled in a Postsecondary Institution within 12 months,Cluster Position,# Student Enrollment
1106,Amundsen High School             ,11.2,12.4,58.8,15.0,86.2,91.3,6.9,95.7,57.7,1,1165
1107,Bogan High School                ,0.9,49.4,48.9,0.1,94.0,87.5,0.0,88.9,59.1,2,769
1108,Carver Military Academy HS       ,0.8,41.4,57.4,0.0,92.6,92.9,0.0,99.1,49.5,2,500
1109,Farragut Career Academy HS       ,0.5,11.7,87.6,0.0,98.8,85.8,0.0,83.5,45.7,1,830
1110,Fenger Academy High School       ,0.0,99.1,0.4,0.0,98.2,86.3,0.0,100.0,36.2,0,226
1111,Foreman High School              ,3.3,19.9,74.9,1.1,95.7,85.0,58.3,88.0,49.8,1,838
1112,Back of The Yards IB HS          ,1.5,3.3,89.4,5.6,96.5,94.1,6.3,98.8,0.0,1,1042
1113,Gage Park High School            ,0.7,39.6,59.1,0.0,97.4,91.5,0.0,91.8,25.0,2,303
1114,Harlan Community Academy HS      ,0.2,99.2,0.4,0.0,94.5,82.3,0.0,95.7,52.9,0,474
1115,Harper High School               ,0.0,95.2,3.6,0.0,99.4,81.0,0.0,89.5,35.3,0,165
1116,Hirsch Metropolitan High School  ,0.7,97.2,2.1,0.0,100.0,80.2,0.0,87.9,37.2,0,145
1117,Hubbard High School              ,2.3,7.3,89.6,0.2,96.9,89.8,19.1,97.4,58.9,1,1755
1118,Hyde Park Academy High School    ,0.0,98.2,0.8,0.1,98.6,86.3,0.0,94.9,55.0,0,719
1119,Kelly High School                ,1.5,3.5,81.2,13.3,95.7,89.1,20.7,91.9,59.6,1,2014
1120,Kelvyn Park High School          ,1.6,7.0,90.4,0.2,96.9,84.6,0.0,73.5,38.8,1,513
1121,Kennedy High School              ,23.4,3.6,70.7,0.8,72.9,87.9,6.6,87.8,62.4,1,1647
1122,Kenwood Academy High School      ,4.1,84.7,4.6,3.3,62.2,92.9,11.8,96.2,82.1,4,1776
1123,Lake View High School            ,12.9,10.6,70.5,3.2,81.7,89.4,7.4,92.0,67.7,1,1297
1124,Lane Technical High School       ,36.8,8.2,41.0,10.9,50.9,94.4,0.8,97.5,84.0,3,4195
1125,Marshall Metropolitan High School,0.0,97.8,1.7,0.0,99.4,79.0,0.0,91.6,36.2,0,358
1126,Mather High School               ,20.2,11.9,35.0,30.4,86.4,90.3,13.5,93.6,71.9,3,1472
1127,Morgan Park High School          ,0.4,97.3,1.3,0.1,87.9,86.1,0.0,85.3,69.8,0,1408
1128,Phillips Academy High School     ,0.2,98.5,0.9,0.2,97.5,80.4,0.0,98.9,57.1,0,528
1129,Roosevelt High School            ,5.5,14.6,70.4,7.1,96.1,86.9,15.2,80.5,43.7,1,1191
1130,Schurz High School               ,5.9,11.2,79.6,1.5,92.5,82.3,21.4,91.2,55.0,1,1793
1131,Senn High School                 ,10.6,26.4,43.9,16.0,82.4,88.2,11.1,89.6,62.2,2,1415
1132,King College Prep High School    ,0.6,93.7,3.9,0.9,80.1,91.3,0.0,97.7,85.3,0,638
1133,Steinmetz College Prep HS        ,8.2,14.2,73.4,2.4,91.1,86.6,9.6,91.9,49.3,1,1351
1134,Sullivan High School             ,5.9,39.3,38.0,14.5,95.4,86.5,24.4,75.0,51.1,2,608
1135,Taft High School                 ,47.3,2.6,40.1,7.3,57.1,89.3,5.0,94.4,67.2,3,3267
1136,Tilden Career Communty Academy HS,9.2,59.9,26.8,1.8,95.2,80.7,21.4,75.8,39.3,4,272
1137,Von Steuben Metro Science HS     ,17.0,10.3,56.7,13.6,75.4,92.8,3.4,97.4,75.8,1,1734
1138,Lincoln Park High School         ,27.7,20.8,35.5,12.1,54.6,90.2,4.0,92.8,80.5,3,2133
1139,Washington G High School         ,5.6,5.8,87.4,0.2,90.9,87.9,11.1,88.8,55.1,1,1418
1140,Wells Community Academy HS       ,2.7,52.8,43.8,0.0,93.1,88.7,10.0,96.4,51.0,2,377
1141,Crane Medical Prep HS            ,0.7,72.3,25.0,1.4,88.9,90.5,0.0,98.3,0.0,4,585
1142,Disney II Magnet HS              ,21.8,19.8,51.7,3.7,61.2,89.2,4.4,93.8,0.0,3,729
1175,Chicago Vocational Career Acad HS,0.0,97.1,2.3,0.0,97.2,83.7,0.0,91.1,37.7,0,901
1177,Dunbar Vocational Career Acad HS ,0.4,97.5,2.2,0.0,99.5,84.2,0.0,96.1,49.7,0,554
1178,Jones College Prep High School   ,38.9,15.8,28.4,12.5,41.0,92.3,2.0,94.6,85.8,3,1817
1179,Prosser Career Academy HS        ,3.1,18.8,76.5,0.4,93.1,88.6,4.4,96.5,67.7,1,1375
1180,Richards Career Academy HS       ,0.4,42.8,56.0,0.0,91.2,76.9,0.0,95.6,52.1,2,250
1181,Simeon Career Academy High School,0.1,98.5,1.0,0.0,91.7,89.4,0.0,98.3,68.3,0,1319
1183,Corliss High School              ,0.0,99.2,0.5,0.0,96.7,79.0,0.0,97.3,41.9,0,368
1184,Clemente Community Academy HS    ,1.8,29.1,67.5,0.1,94.4,82.7,42.9,91.3,43.9,1,732
1192,Manley Career Academy High School,0.0,95.9,3.5,0.0,94.7,73.9,0.0,91.8,36.1,0,170
1193,Curie Metropolitan High School   ,2.4,12.5,81.5,3.0,93.2,87.9,13.7,85.5,68.4,1,2937
1207,Julian High School               ,0.2,99.0,0.6,0.0,98.4,81.6,0.0,97.4,47.6,0,625
1208,Young Magnet High School         ,29.0,22.9,28.3,15.7,43.1,94.7,1.3,97.2,84.2,3,2114
1209,Robeson High School              ,0.0,97.2,1.4,0.0,99.3,82.5,0.0,85.0,55.6,0,145
1210,Juarez Community Academy HS      ,0.6,2.9,94.4,0.5,96.7,86.0,0.0,90.3,51.4,1,1589
1211,Chicago HS for Agricult Sciences ,35.8,41.6,19.4,0.3,45.0,93.8,6.2,93.8,81.3,3,718
1212,Hancock College Preparatory HS   ,2.1,1.0,94.9,0.9,91.2,92.4,5.3,93.7,61.3,1,887
1213,Brooks College Prep Academy HS   ,0.7,82.1,16.0,0.2,73.5,91.4,0.0,99.0,87.3,4,921
1214,Northside College Preparatory Hs ,30.1,8.3,28.7,19.4,41.5,93.8,0.6,98.0,91.5,3,1069
1215,Chicago Military Academy HS      ,1.4,70.5,27.1,0.0,94.5,91.8,0.0,100.0,51.7,4,292
1216,Payton College Preparatory HS    ,42.9,12.7,22.2,16.7,33.2,92.7,0.2,99.1,85.3,3,978
1217,Hope College Prep High School    ,3.6,83.9,10.2,0.0,98.5,83.7,0.0,87.5,48.5,0,137
1219,Phoenix Military Academy HS      ,0.6,22.2,75.4,0.9,95.9,95.6,0.0,99.1,46.2,1,540
1220,Spry Community Links High School ,1.3,0.6,97.5,0.0,92.4,87.4,0.0,72.2,38.7,1,158
1221,Chicago Academy High School      ,21.0,14.4,58.3,4.6,81.2,92.4,6.1,92.8,81.0,1,547
1222,Bowen High School                ,0.0,73.9,25.5,0.0,97.1,82.2,0.0,85.7,44.4,4,310
1223,North-Grand High School          ,0.9,14.1,83.9,0.2,95.9,88.5,20.0,87.9,47.3,1,959
1224,Raby High School                 ,0.2,93.2,6.1,0.2,99.0,85.2,0.0,83.6,63.0,0,413
1225,Clark Acad Prep Magnet High Schl ,0.0,97.4,2.4,0.0,90.9,93.0,0.0,97.9,55.8,0,540
1226,Rickover Naval Academy High Schl ,8.6,11.0,73.6,4.6,87.7,90.3,2.0,97.1,63.6,1,571
1227,Uplift Community High School     ,2.3,81.9,13.4,1.7,96.3,86.6,0.0,81.4,74.4,4,299
1229,World Language High School       ,0.9,8.6,90.6,0.0,97.9,90.8,0.0,97.3,56.3,1,339
1230,Douglass Academy High School     ,0.0,95.8,3.6,0.0,98.2,79.4,0.0,86.7,29.8,0,167
1231,Devry Advantage Academy High Schl,11.2,36.7,43.4,7.1,71.4,95.6,4.5,100.0,81.1,2,196
1232,Lindblom Math & Science Acad HS  ,1.9,71.5,24.4,1.2,67.2,91.6,4.0,99.5,89.5,4,1292
1233,Bronzeville Scholastic HS        ,0.0,97.6,1.9,0.5,94.6,89.1,0.0,96.4,72.7,0,371
1234,School of Social Justice HS      ,0.7,14.7,84.0,0.0,96.1,89.4,0.0,93.0,55.4,1,306
1235,Multicultural Acad Scholarshp HS ,0.4,15.6,82.9,0.0,95.3,84.4,0.0,85.7,49.2,1,257
1236,Infinity Math  Science & Tech HS ,0.7,1.5,97.3,0.2,95.1,92.8,0.0,100.0,58.5,1,409
1238,Collins Academy High School      ,0.0,99.3,0.3,0.0,99.7,83.6,0.0,84.9,46.7,0,289
1239,Team Englewood Comm Acad HS      ,0.0,99.4,0.0,0.0,93.8,65.5,0.0,76.8,51.4,0,160
1240,Austin College and Career Acad HS,0.0,96.3,3.3,0.0,98.3,85.6,0.0,93.1,40.0,0,299
1241,Orr Academy High School          ,0.0,82.8,16.9,0.0,98.7,62.1,0.0,66.3,47.9,4,379
1242,Air Force Acad High School       ,8.4,44.3,43.4,2.1,90.1,89.3,3.6,97.7,65.9,2,332
1243,Alcott Humanities High School    ,7.9,17.3,70.9,1.5,81.2,88.7,0.0,94.9,59.6,1,330
1245,Chicago Technology Academy HS    ,2.6,75.4,20.6,0.7,92.6,87.5,0.0,96.1,61.7,4,272
1246,Chicago HS for the Arts          ,17.5,44.8,28.5,1.7,55.2,98.9,3.8,94.6,82.1,3,601
1247,Ogden Int High School            ,23.6,34.8,33.0,5.0,53.1,93.8,6.9,95.0,70.5,3,715
1248,Williams Medical Prep High Sch   ,0.4,97.9,0.9,0.0,95.7,87.0,0.0,100.0,74.7,0,234
1249,Westinghouse High School         ,2.2,52.5,39.3,5.1,81.1,91.9,3.8,98.8,78.5,2,1151
1250,Solorio Academy High School      ,0.8,5.2,93.4,0.0,94.8,94.1,0.0,97.6,66.4,1,1138
