,School Name,% Student Enrollment - White,% Student Enrollment - Black or African American,% Student Enrollment - Hispanic or Latino,% Student Enrollment - Asian,% Student Enrollment - Low Income,Student Attendance Rate,High School Dropout Rate - Total,High School 4-Year Graduation Rate - Total,% Graduates enrolled in a Postsecondary Institution within 12 months,Cluster Position,# Student Enrollment
1203,Austin Polytechnical Academy HS  ,0.0,96.5,1.8,0.0,98.2,82.5,3.5,83.8,56.4,1,114
1204,Collins Academy High School      ,0.0,98.5,0.6,0.3,99.4,80.7,5.4,72.7,44.3,1,336
1205,Team Englewood Comm Acad HS      ,0.0,98.5,1.5,0.0,87.4,76.2,0.8,84.1,74.7,1,262
1206,VOISE Academy High School        ,0.0,92.6,6.9,0.0,98.9,80.5,5.8,87.7,63.4,1,189
1207,Community Services West High Sch ,0.0,96.6,3.4,0.0,82.8,43.2,32.2,30.0,22.9,1,87
1208,Orr Academy High School          ,0.5,82.5,16.7,0.0,95.9,74.3,17.2,42.0,41.3,1,653
1209,Air Force Acad High School       ,11.0,42.5,42.2,3.7,84.1,91.4,1.5,80.2,51.4,3,327
1210,Alcott Humanities High School    ,9.3,20.6,67.1,1.3,80.1,91.5,0.7,86.2,69.4,4,301
1211,Chicago Technology Academy HS    ,2.8,76.7,18.7,0.9,93.6,88.4,0.9,81.2,53.8,1,326
1212,Chicago HS for the Arts          ,16.8,51.1,25.0,1.9,54.9,97.0,1.4,90.8,83.2,3,585
1213,Ogden Int High School            ,27.8,33.4,28.9,6.0,46.6,93.9,0.3,89.6,70.5,0,695
1214,Williams Medical Prep High Sch   ,0.4,96.9,1.1,0.4,95.8,88.5,0.0,92.2,85.7,1,262
1215,Westinghouse High School         ,2.4,52.9,37.5,5.9,83.1,92.6,0.1,94.6,83.5,3,1127
1216,Solorio Academy High School      ,0.8,4.3,94.2,0.0,95.4,94.5,2.5,85.1,53.9,2,1142
1217,South Shore Intl Col Prep HS     ,0.4,95.2,3.0,0.2,81.9,90.2,0.6,90.5,0.0,1,542
1218,Goode STEM Academy HS            ,1.0,57.7,39.9,0.2,85.5,91.5,0.1,96.4,0.0,3,830
1219,Chicago Excel Academy HS         ,0.5,97.3,1.6,0.0,97.8,82.5,61.6,23.5,25.7,1,185
