,School Name,% Student Enrollment - White,% Student Enrollment - Black or African American,% Student Enrollment - Hispanic or Latino,% Student Enrollment - Asian,% Student Enrollment - Low Income,Student Attendance Rate,High School Dropout Rate - Total,High School 4-Year Graduation Rate - Total,% Graduates enrolled in a Postsecondary Institution within 12 months,Cluster Position,# Student Enrollment
1111,Amundsen High School             ,12.3,11.1,59.1,15.0,89.0,91.8,2.1,79.4,57.9,4,1175
1112,Bogan High School                ,1.3,50.3,47.7,0.2,90.0,89.2,6.9,66.6,47.3,3,960
1113,Carver Military Academy HS       ,0.6,44.4,54.8,0.0,93.1,94.1,0.2,95.7,51.1,3,491
1114,Farragut Career Academy HS       ,0.7,16.9,82.2,0.0,97.9,87.5,10.0,60.4,31.8,2,1053
1115,Fenger Academy High School       ,0.2,98.2,0.9,0.0,97.9,86.5,15.4,55.3,48.0,1,435
1116,Foreman High School              ,3.7,17.7,77.0,0.9,94.4,88.9,5.5,65.8,45.0,2,1171
1117,Back of The Yards IB HS          ,1.8,3.2,88.2,6.6,95.9,96.0,0.1,0.0,0.0,2,790
1118,Gage Park High School            ,1.2,54.8,43.3,0.2,96.8,90.5,16.1,53.9,32.5,3,591
1119,Harlan Community Academy HS      ,0.0,98.9,0.6,0.0,93.3,83.4,6.2,58.5,60.4,1,796
1120,Harper High School               ,0.0,96.4,3.3,0.0,97.9,85.9,14.1,54.3,33.8,1,389
1121,Hirsch Metropolitan High School  ,0.3,97.8,0.8,0.0,94.7,76.8,16.4,35.7,41.1,1,360
1122,Hubbard High School              ,2.8,5.6,90.6,0.2,96.3,91.6,3.8,79.0,63.0,2,1825
1123,Hyde Park Academy High School    ,0.1,98.1,1.1,0.0,98.0,86.4,6.5,63.7,53.6,1,996
1124,Kelly High School                ,2.1,3.1,81.4,12.9,95.7,90.4,5.5,71.8,53.5,2,2327
1125,Kelvyn Park High School          ,2.1,6.6,90.1,0.5,96.2,82.1,7.0,61.0,36.0,2,799
1126,Kennedy High School              ,25.9,3.6,69.0,0.7,78.7,89.9,3.4,70.8,60.4,4,1672
1127,Kenwood Academy High School      ,3.0,86.4,4.8,3.1,65.6,93.2,0.9,83.8,76.5,1,1761
1128,Lake View High School            ,13.3,13.0,67.3,3.8,83.6,88.6,1.3,86.4,69.7,4,1302
1129,Lane Technical High School       ,35.0,8.4,42.3,10.9,54.0,94.1,0.2,93.7,87.7,0,3985
1130,Marshall Metropolitan High School,0.3,96.7,2.5,0.0,97.9,89.2,10.0,57.4,32.9,1,670
1131,Mather High School               ,22.0,13.2,35.3,27.2,87.1,89.7,2.6,74.5,62.9,4,1710
1132,Morgan Park High School          ,3.2,94.2,1.6,0.0,84.2,88.4,3.4,75.8,74.3,1,1541
1133,Phillips Academy High School     ,0.7,96.7,0.9,0.9,95.0,81.1,8.0,59.4,60.5,1,813
1134,Roosevelt High School            ,5.7,12.7,72.6,7.4,93.6,85.3,4.6,66.9,50.0,2,1275
1135,Schurz High School               ,6.3,10.2,80.4,1.3,91.4,85.2,2.9,74.6,45.9,2,2174
1136,Senn High School                 ,10.2,29.0,42.0,15.5,83.3,90.4,3.1,75.0,51.2,4,1482
1137,King College Prep High School    ,0.3,94.1,3.2,1.5,79.8,92.8,0.0,95.7,85.3,1,648
1139,Steinmetz College Prep HS        ,9.6,15.1,71.6,2.1,90.8,85.9,3.0,71.8,55.1,2,1699
1140,Sullivan High School             ,3.8,43.7,38.6,11.4,94.4,86.9,4.8,66.1,43.5,3,625
1141,Taft High School                 ,48.5,2.4,39.3,7.3,57.8,91.0,2.6,83.4,75.7,0,3436
1142,Tilden Career Communty Academy HS,12.3,51.2,29.6,4.7,96.3,80.8,11.6,49.2,35.4,3,406
1143,Von Steuben Metro Science HS     ,17.5,11.2,55.9,13.1,77.3,93.3,0.2,91.3,81.8,4,1632
1144,Lincoln Park High School         ,28.0,24.0,33.0,10.5,55.7,90.5,0.5,83.5,77.8,0,2143
1145,Washington G High School         ,5.6,7.4,86.1,0.1,91.6,87.0,1.8,79.1,60.1,2,1470
1146,Wells Community Academy HS       ,4.8,54.3,40.4,0.0,94.3,90.8,5.5,75.2,41.2,3,545
1148,Crane Medical Prep HS            ,0.8,69.8,27.7,0.8,85.5,95.1,0.0,0.0,0.0,3,477
1149,Disney II Magnet HS              ,21.2,20.9,51.2,3.3,59.7,91.2,0.5,0.0,0.0,4,633
1164,Chicago Vocational Career Acad HS,0.0,97.9,1.4,0.0,95.1,87.3,4.4,67.6,54.3,1,1133
1165,Dunbar Vocational Career Acad HS ,0.3,98.6,0.7,0.1,98.1,85.4,2.2,83.4,63.9,1,726
1166,Jones College Prep High School   ,38.1,16.2,29.9,11.9,41.3,93.2,0.1,99.3,89.2,0,1617
1167,Prosser Career Academy HS        ,3.0,20.0,75.6,0.4,94.0,88.8,0.1,94.1,66.3,2,1422
1168,Richards Career Academy HS       ,0.8,32.9,65.5,0.0,88.8,77.9,11.0,59.1,36.8,4,383
1169,Simeon Career Academy High School,0.2,98.1,0.5,0.0,90.0,90.6,0.0,91.5,73.2,1,1330
1170,Corliss High School              ,0.2,96.3,3.2,0.0,93.7,82.2,6.5,59.5,43.8,1,536
1171,Clemente Community Academy HS    ,3.1,26.7,68.6,0.1,95.4,82.7,3.6,75.5,43.9,2,842
1172,Manley Career Academy High School,0.5,94.8,4.3,0.0,94.7,80.6,18.7,40.1,34.9,1,582
1173,Curie Metropolitan High School   ,2.4,11.9,82.4,2.6,93.6,88.1,2.7,77.7,63.0,2,3129
1174,Julian High School               ,0.0,99.7,0.1,0.0,95.6,83.1,3.9,80.7,56.9,1,742
1175,Young Magnet High School         ,29.9,22.3,27.8,16.0,43.0,95.0,0.1,96.4,85.2,0,2067
1176,Robeson High School              ,0.4,97.8,1.1,0.0,98.2,76.8,23.2,41.0,46.5,1,448
1177,Juarez Community Academy HS      ,0.7,3.1,94.6,0.7,96.6,89.7,3.8,84.4,50.3,2,1719
1178,Chicago HS for Agricult Sciences ,36.7,41.3,18.7,0.2,45.1,93.3,0.2,91.6,77.2,0,652
1179,Hancock College Preparatory HS   ,2.1,1.6,94.7,0.8,93.0,90.6,2.2,90.9,54.2,2,924
1180,Brooks College Prep Academy HS   ,0.5,82.1,15.8,0.3,73.3,92.1,0.0,95.8,83.2,1,798
1181,Northside College Preparatory Hs ,31.5,8.5,28.4,18.8,40.2,93.5,0.0,96.1,83.3,0,1039
1182,Chicago Military Academy HS      ,1.5,74.7,23.1,0.0,90.7,92.9,0.3,96.2,72.2,3,324
1183,Payton College Preparatory HS    ,44.7,13.4,21.1,15.3,29.6,92.9,0.0,97.5,75.9,0,864
1184,Hope College Prep High School    ,0.0,97.7,2.3,0.0,98.5,85.9,17.1,48.1,48.9,1,263
1185,Phoenix Military Academy HS      ,0.2,24.0,74.8,0.4,96.3,95.3,0.0,95.2,56.9,2,520
1186,Spry Community Links High School ,0.6,0.6,98.3,0.0,98.3,90.1,2.9,86.3,36.2,2,175
1187,Chicago Academy High School      ,22.0,14.0,57.6,4.6,81.9,93.2,0.4,91.5,73.8,4,542
1188,Bowen High School                ,0.2,80.7,18.3,0.0,96.5,87.0,8.6,55.1,42.3,1,514
1189,North-Grand High School          ,0.3,11.8,86.9,0.1,95.7,89.3,2.2,86.8,46.2,2,983
1190,Raby High School                 ,0.0,99.1,0.9,0.0,98.4,85.2,2.6,84.3,64.3,1,426
1191,Clark Acad Prep Magnet High Schl ,0.0,99.8,0.2,0.0,94.5,92.4,1.2,93.1,59.8,1,511
1192,Rickover Naval Academy High Schl ,9.5,11.2,73.0,4.3,86.3,92.7,0.5,90.2,66.4,2,578
1193,Uplift Community High School     ,1.5,89.3,6.7,1.1,95.9,89.8,1.9,86.4,75.4,1,270
1194,World Language High School       ,0.3,8.9,90.8,0.0,97.9,93.1,0.9,93.6,48.7,2,327
1195,Douglass Academy High School     ,0.3,96.2,2.8,0.0,96.9,78.9,17.9,57.6,40.5,1,392
1196,Devry Advantage Academy High Schl,8.2,34.2,51.5,4.6,70.9,96.1,0.5,99.0,90.3,4,196
1197,Lindblom Math & Science Acad HS  ,1.4,71.1,24.5,1.6,63.6,93.2,0.0,93.9,90.9,3,1206
1198,Bronzeville Scholastic HS        ,0.2,98.6,1.1,0.0,94.7,87.8,0.0,91.7,66.9,1,435
1199,School of Social Justice HS      ,0.0,10.9,88.4,0.0,97.4,90.1,0.7,83.8,58.9,2,303
1200,Multicultural Acad of Scholarshp ,0.9,20.8,77.7,0.0,99.1,86.0,8.1,60.4,46.0,2,346
1201,Infinity Math  Science & Tech HS ,0.5,3.3,95.7,0.0,96.4,93.5,0.0,88.9,59.3,2,418
1202,Austin Bus & Entrepreneurship HS ,0.0,96.9,2.0,0.0,96.9,82.9,7.1,95.0,47.6,1,98
