,School Name,% Student Enrollment - White,% Student Enrollment - Black or African American,% Student Enrollment - Hispanic or Latino,% Student Enrollment - Asian,% Student Enrollment - Low Income,Student Attendance Rate,High School Dropout Rate - Total,High School 4-Year Graduation Rate - Total,% Graduates enrolled in a Postsecondary Institution within 12 months,Cluster Position,# Student Enrollment
1430,Amundsen High School,21.2,10.1,55.4,9.6,69.2,93.7,2.2,87.2,75.6,1,1382
1431,Bogan High School,0.5,63.9,35.0,0.0,88.4,88.9,12.7,54.5,44.0,0,734
1432,Carver Military Academy HS,1.3,35.5,63.0,0.0,90.4,94.6,1.3,93.8,65.5,2,479
1433,Farragut Career Academy HS,1.8,11.3,87.0,0.0,99.5,87.3,10.2,61.5,47.2,2,560
1434,Fenger Academy High School,0.0,97.7,1.1,0.0,95.4,87.3,9.1,56.3,30.6,0,261
1435,Foreman High School,4.0,18.2,76.7,0.4,93.0,85.9,7.0,65.7,49.7,2,704
1436,Back of The Yards IB HS,1.0,3.0,92.5,2.8,93.5,95.0,0.7,98.5,79.4,2,1069
1437,Gage Park High School,0.3,32.8,66.3,0.0,98.4,86.4,12.4,40.0,31.4,2,320
1438,Harlan Community Academy HS,0.0,98.0,1.7,0.0,96.0,88.2,10.0,59.7,39.6,0,300
1439,Harper High School,0.0,95.8,4.2,0.0,93.8,93.5,2.1,75.8,28.9,0,48
1440,Hirsch Metropolitan High School,0.0,96.8,1.1,0.0,94.7,83.2,11.4,35.0,17.1,0,95
1441,Hubbard High School,2.0,6.0,91.3,0.1,95.3,91.9,4.9,76.8,63.7,2,1626
1442,Hyde Park Academy High School,0.0,99.0,0.6,0.0,99.0,90.4,6.9,73.0,51.0,0,725
1443,Thomas Kelly College Preparatory,2.0,3.8,79.7,13.5,93.6,92.7,6.2,73.5,61.3,2,1775
1444,Kelvyn Park High School,1.7,7.3,89.8,0.0,97.3,88.6,6.5,64.1,35.3,2,410
1445,Kennedy High School,18.9,2.1,76.5,0.8,69.5,92.8,5.2,78.6,67.7,2,1544
1446,Kenwood Academy High School,4.6,85.8,4.9,2.3,57.7,94.6,2.1,95.1,68.6,0,2029
1447,Lake View High School,11.7,10.0,71.1,3.2,76.6,91.0,3.6,89.1,72.4,2,1295
