,School Name,% Student Enrollment - White,% Student Enrollment - Black or African American,% Student Enrollment - Hispanic or Latino,% Student Enrollment - Asian,% Student Enrollment - Low Income,Student Attendance Rate,High School Dropout Rate - Total,High School 4-Year Graduation Rate - Total,% Graduates enrolled in a Postsecondary Institution within 12 months,Cluster Position,# Student Enrollment
1434,Lane Technical High School,35.4,7.9,40.7,10.5,47.4,93.6,0.4,94.2,90.3,1,4429.0
1435,Marshall Metropolitan High School,0.0,98.2,0.0,0.0,97.6,73.7,4.8,86.9,32.3,0,337.0
1436,Mather High School,19.6,11.6,35.6,30.7,88.1,88.0,3.0,80.3,67.3,1,1451.0
1437,Morgan Park High School,0.0,97.8,1.0,0.0,88.6,83.9,1.0,74.8,72.3,0,1267.0
1438,Phillips Academy High School,0.0,98.1,0.0,0.0,95.5,83.2,1.1,88.1,47.3,0,623.0
1439,Roosevelt High School,5.8,14.6,68.9,7.6,96.0,88.8,1.5,80.5,62.4,2,1113.0
1440,Schurz High School,5.3,10.1,81.8,1.3,92.1,85.3,1.7,79.2,51.6,2,1751.0
1441,Senn High School,11.1,25.6,42.3,17.9,81.3,90.4,1.3,85.3,68.6,1,1449.0
1442,King College Prep High School,0.0,94.0,3.8,0.0,80.1,89.8,0.3,91.9,88.5,0,599.0
1443,Steinmetz College Prep HS,8.8,14.8,72.7,2.3,90.9,86.7,0.3,85.3,51.2,2,1262.0
1444,Sullivan High School,6.0,41.6,33.8,16.7,93.7,84.1,2.1,72.3,57.6,1,730.0
1445,Taft High School,46.4,2.3,39.4,7.3,54.5,90.1,2.1,83.2,73.4,1,3371.0
1446,Tilden Career Communty Academy HS,8.8,53.8,34.9,0.0,94.8,81.6,4.4,72.5,32.5,1,249.0
1447,Von Steuben Metro Science HS,16.3,11.0,57.2,12.8,75.5,93.3,0.1,92.5,88.3,1,1726.0
1448,Lincoln Park High School,28.3,21.5,34.9,11.7,55.2,90.8,0.4,89.8,82.7,1,2113.0
1449,Washington G High School,5.4,5.4,87.6,0.0,92.2,89.2,2.0,79.2,62.5,2,1440.0
1450,Wells Community Academy HS,3.4,51.6,43.7,0.0,91.3,90.0,0.5,88.5,46.0,1,380.0
1451,Crane Medical Prep HS,0.0,73.2,24.1,0.0,86.7,92.0,0.0,93.6,0.0,0,481.0
1452,Disney II Magnet HS,22.9,19.3,51.2,3.7,59.6,90.5,0.0,83.8,0.0,1,711.0
1453,Chicago Vocational Career Acad HS,0.0,97.0,2.2,0.0,96.1,90.4,0.5,81.5,46.4,0,861.0
1454,Dunbar Vocational Career Acad HS,0.0,96.4,3.4,0.0,99.5,85.1,0.0,75.0,44.3,0,439.0
1455,Jones College Prep High School,39.0,13.9,28.9,13.3,39.5,93.0,0.2,94.6,89.6,1,1861.0
1456,Prosser Career Academy HS,2.0,18.0,78.7,0.0,92.6,89.2,0.3,90.9,72.0,2,1395.0
1457,Richards Career Academy HS,0.0,39.2,59.9,0.0,98.2,77.6,5.1,75.4,45.0,2,217.0
1458,Simeon Career Academy High School,0.0,98.8,0.9,0.0,90.8,89.1,0.2,87.9,67.6,0,1335.0
1459,Corliss High School,0.0,98.4,0.0,0.0,87.3,83.8,1.0,77.6,45.6,0,308.0
1460,Clemente Community Academy HS,1.3,30.0,67.3,0.0,93.9,80.7,0.1,87.7,52.7,2,753.0
1461,Manley Career Academy High School,0.0,97.5,0.0,0.0,89.0,74.1,0.0,81.3,30.7,0,118.0
1462,Curie Metropolitan High School,2.1,13.0,81.5,2.6,93.1,88.3,1.2,79.1,68.4,2,2918.0
1463,Julian High School,0.0,98.6,0.0,0.0,96.9,80.3,0.6,92.4,50.0,0,516.0
1464,Young Magnet High School,28.1,21.4,30.0,15.9,40.5,95.5,0.1,94.8,91.8,1,2157.0
1465,Robeson High School,0.0,98.5,0.0,0.0,99.3,83.8,3.7,61.5,36.5,0,136.0
1466,Juarez Community Academy HS,0.6,3.3,94.7,0.0,96.3,85.4,2.0,87.4,58.6,2,1743.0
1467,Chicago HS for Agricult Sciences,37.2,41.4,18.1,0.0,40.3,94.2,0.4,82.6,86.5,1,718.0
1468,Hancock College Preparatory HS,2.6,1.7,93.8,0.0,86.3,92.1,0.3,81.6,67.6,2,967.0
1469,Brooks College Prep Academy HS,0.0,79.5,18.4,0.0,71.8,89.3,0.4,82.7,94.1,0,962.0
1470,Northside College Preparatory Hs,29.3,7.3,29.8,19.7,44.3,94.1,0.1,96.3,92.0,1,1061.0
1471,Chicago Military Academy HS,0.0,64.7,32.0,0.0,91.9,92.1,0.6,93.6,58.3,0,309.0
1472,Payton College Preparatory HS,43.4,11.0,22.0,17.9,31.6,93.1,0.1,96.0,86.7,1,1073.0
1473,Hope College Prep High School,0.0,78.1,17.7,0.0,97.9,85.7,3.1,75.0,45.1,0,96.0
1474,Phoenix Military Academy HS,0.0,17.1,80.3,0.0,94.2,94.8,0.0,100.0,70.7,2,532.0
1475,Spry Community Links High School,0.0,0.0,97.7,0.0,96.2,88.2,4.6,85.5,50.0,2,131.0
1476,Chicago Academy High School,19.7,12.0,61.6,5.2,83.2,93.0,0.4,84.1,74.1,2,542.0
1477,Bowen High School,0.0,78.2,21.1,0.0,93.5,82.1,0.0,72.9,41.4,0,294.0
1478,North-Grand High School,1.1,15.8,81.5,0.0,95.2,88.2,1.3,81.9,59.4,2,968.0
1479,Raby High School,0.0,92.9,5.8,0.0,99.2,83.0,1.0,91.1,54.9,0,381.0
1480,Clark Acad Prep Magnet High Schl,0.0,97.4,2.4,0.0,83.4,91.5,0.0,93.0,62.8,0,542.0
1481,Rickover Naval Academy High Schl,8.5,9.5,74.4,5.8,89.7,91.2,0.2,92.9,77.1,2,555.0
1482,Uplift Community High School,0.0,80.1,13.7,0.0,94.6,84.7,0.8,84.5,75.0,0,241.0
1483,World Language High School,0.0,6.5,90.7,0.0,96.3,91.7,0.6,76.8,65.2,2,354.0
1484,Douglass Academy High School,0.0,96.0,0.0,0.0,97.0,79.9,8.9,73.2,32.2,0,101.0
1485,Devry Advantage Academy High Schl,9.3,33.7,46.1,7.3,71.0,95.2,0.5,98.9,94.8,1,193.0
1486,Lindblom Math & Science Acad HS,2.6,70.8,24.5,1.1,67.3,91.7,0.0,98.0,92.0,0,1325.0
1487,Bronzeville Scholastic HS,0.0,95.6,3.1,0.0,95.3,82.8,1.9,91.1,64.1,0,321.0
1488,School of Social Justice HS,0.0,10.5,88.4,0.0,97.9,90.1,1.4,76.8,59.0,2,285.0
1489,Multicultural Acad of Scholarshp HS,0.0,12.1,86.5,0.0,99.1,89.3,9.4,82.0,52.3,2,223.0
1490,Infinity Math  Science & Tech HS,0.0,0.0,98.3,0.0,95.7,93.1,0.5,90.4,75.0,2,417.0
1491,Collins Academy High School,0.0,98.1,0.0,0.0,98.9,85.6,0.0,90.3,59.4,0,261.0
1492,Team Englewood Comm Acad HS,0.0,98.9,0.0,0.0,96.7,68.3,5.4,69.4,44.6,0,92.0
1493,Austin College and Career Academy High School,0.0,96.3,0.0,0.0,99.1,87.1,3.7,87.5,38.8,0,214.0
1494,Orr Academy High School,0.0,83.7,15.9,0.0,98.6,73.1,4.0,65.9,28.6,0,276.0
1495,Air Force Acad High School,10.3,44.4,40.6,0.0,87.4,91.3,0.4,85.7,65.7,1,261.0
1496,Alcott Humanities High School,9.6,15.8,70.1,0.0,84.9,90.8,0.6,84.6,76.0,2,311.0
1497,Chicago Technology Academy HS,0.0,76.8,18.7,0.0,92.5,90.3,0.8,93.5,68.6,0,241.0
1498,Chicago HS for the Arts,19.3,38.2,32.7,2.5,44.9,96.0,1.1,91.0,89.2,1,612.0
1499,Ogden Int High School,22.8,36.6,32.6,4.7,52.2,94.3,0.0,87.9,81.6,1,890.0
1500,Williams Medical Prep High Sch,0.0,97.4,0.0,0.0,97.4,86.5,1.3,91.9,87.9,0,231.0
1501,Westinghouse High School,2.0,53.9,38.9,3.9,81.7,92.0,0.4,97.8,85.1,1,1192.0
1502,Solorio Academy High School,0.0,4.7,93.9,0.0,94.2,94.0,0.8,83.8,63.6,2,1195.0
1503,South Shore Intl Col Prep HS,0.0,95.8,2.8,0.0,84.4,90.9,0.6,90.6,82.5,0,648.0
1504,Goode STEM Academy HS,0.0,51.1,46.5,0.0,88.7,89.7,0.0,97.5,73.1,1,903.0
1505,Chicago Excel Academy HS,0.0,96.1,0.0,0.0,98.6,82.9,50.9,40.0,16.7,0,281.0
1506,Walter Henri Dyett High School for the Arts,0.0,97.9,0.0,0.0,90.5,92.1,1.2,0.0,0.0,0,328.0
