,School Name,% Student Enrollment - White,% Student Enrollment - Black or African American,% Student Enrollment - Hispanic or Latino,% Student Enrollment - Asian,% Student Enrollment - Low Income,Student Attendance Rate,High School Dropout Rate - Total,High School 4-Year Graduation Rate - Total,% Graduates enrolled in a Postsecondary Institution within 12 months,Cluster Position,# Student Enrollment
1416,Amundsen High School,12.3,11.8,59.2,13.7,83.4,91.4,0.7,88.9,70.6,2,1227.0
1417,Bogan High School,0.0,50.3,48.6,0.0,92.4,87.7,2.1,86.8,51.5,1,778.0
1418,Carver Military Academy HS,0.0,40.3,58.5,0.0,93.5,91.8,0.6,97.3,72.6,2,479.0
1419,Farragut Career Academy HS,0.0,8.5,90.8,0.0,99.5,86.5,2.9,74.1,38.2,2,728.0
1420,Fenger Academy High School,0.0,98.0,0.0,0.0,97.5,87.0,0.0,73.7,34.0,0,244.0
1421,Foreman High School,2.6,22.1,73.8,0.0,95.9,86.5,0.4,76.4,44.3,2,798.0
1422,Back of The Yards IB HS,1.4,3.1,89.8,5.4,95.7,93.3,0.3,98.8,0.0,2,1064.0
1423,Gage Park High School,0.0,38.2,61.2,0.0,99.4,90.6,0.0,85.5,42.3,2,330.0
1424,Harlan Community Academy HS,0.0,99.2,0.0,0.0,96.6,83.2,5.0,79.8,44.4,0,382.0
1425,Harper High School,0.0,96.2,0.0,0.0,98.5,84.5,0.8,75.8,33.3,0,133.0
1426,Hirsch Metropolitan High School,0.0,98.5,0.0,0.0,99.3,80.0,5.1,73.9,22.0,0,136.0
1427,Hubbard High School,2.1,6.6,90.6,0.0,96.5,90.1,2.6,91.4,63.2,2,1778.0
1428,Hyde Park Academy High School,0.0,98.7,0.0,0.0,98.7,86.9,0.1,85.3,54.7,0,850.0
1429,Kelly High School,1.6,3.9,80.8,13.2,96.1,90.6,3.2,74.1,60.5,2,1881.0
1430,Kelvyn Park High School,0.0,7.2,90.2,0.0,96.1,84.2,1.8,62.5,42.2,2,459.0
1431,Kennedy High School,20.8,3.9,73.0,0.6,75.0,89.1,3.8,79.6,67.1,2,1688.0
1432,Kenwood Academy High School,5.4,84.0,4.4,3.1,59.8,93.5,0.6,92.1,84.1,0,1756.0
1433,Lake View High School,13.6,9.1,70.5,3.7,81.0,88.3,0.1,84.2,71.1,2,1391.0
